1001;Tóth Emese;A csókalányok
1010;Fazekas Anna;Mackó, Mókus, Malacka
1019;Emily Steady;A farmon
1028;Luca Anna;Virágtündér
1037;Markwart Zsófia;Bambi
1046;Kertész Edina;Dodó nyomozó
1055;Lackfi János;Japán harcosok
1064;Gál Viktória;Borsi a kertben
1073;Rowling J.K.;Legendás állatok
1082;Tolkien ;A babó
1091;Marta Gómez Mata;Nagymamák és nagypapák
1100;Zsombok Zoltán;Mesekönyv
1109;Illés Andrea;Királylányos könyv
1118;Tóth Szandra;Kukac Marci és barátai
1127;Benedek Elek;Piros mesekönyv
1136;Márai Mariann;Állatok ábécéje
1145;Fazekas Anna;Öreg néne őzikéje
1154;Fejes Imre;Rókamese
1163;Berg Judit;Rumini
1172;Anna Mangan;Az elfeledett mackó
